"dataelement","period","orgunit","categoryoptioncombo","value","storedby","timestamp","comment","followup"
"cI3OTahNbFi","2011","rqRXrs9cc63","P3p47Zcxn1C",2790,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","DCsRQpOzzh2","P3p47Zcxn1C",3833,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","GhRi6dKniOz","P3p47Zcxn1C",9821,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","VOMHBsMw5p8","P3p47Zcxn1C",2338,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","nGOoUjr9yrg","P3p47Zcxn1C",4195,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","KFMlUrh1V0Y","P3p47Zcxn1C",3318,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","SVjZD96cBOV","P3p47Zcxn1C",2632,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","G447dbTKrWm","P3p47Zcxn1C",3695,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","nLRfg80F7XA","P3p47Zcxn1C",2722,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","xEAsTsLyptN","P3p47Zcxn1C",1580,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","uOhD2VGJIGt","P3p47Zcxn1C",4470,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","PsMJ7PnHt7c","P3p47Zcxn1C",5260,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","dBHrNeK8NLZ","P3p47Zcxn1C",1573,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","HRCl6Oquspz","P3p47Zcxn1C",2908,"admin","2013-01-30T07:27:01+0000","Import from R","false"
